Date,Open,High,Low,Close,Volume
2012-01-04,10810.0,10980.0,10770.0,10960.0,25200.0
2012-01-05,10980.0,10980.0,10730.0,10730.0,16000.0
2012-01-06,10750.0,10770.0,10600.0,10630.0,14300.0
2012-01-10,10870.0,10870.0,10510.0,10540.0,16100.0
2012-01-11,10490.0,10540.0,10410.0,10420.0,15000.0
2012-01-12,10430.0,10580.0,10420.0,10460.0,12200.0
2012-01-13,10460.0,10460.0,10160.0,10340.0,18500.0
2012-01-16,10300.0,10500.0,10290.0,10360.0,11200.0
2012-01-17,10340.0,10420.0,10280.0,10360.0,9000.0
2012-01-18,10330.0,10330.0,10080.0,10090.0,24400.0
2012-01-19,10100.0,10300.0,10020.0,10270.0,20400.0
2012-01-20,10440.0,10730.0,10430.0,10710.0,17400.0
2012-01-23,10630.0,10780.0,10590.0,10640.0,10300.0
2012-01-24,10770.0,10850.0,10700.0,10700.0,5700.0
2012-01-25,10770.0,10880.0,10650.0,10860.0,15800.0
2012-01-26,10740.0,10860.0,10720.0,10790.0,11500.0
2012-01-27,10030.0,10340.0,10030.0,10260.0,53100.0
2012-01-30,10250.0,10310.0,10150.0,10160.0,22800.0
2012-01-31,10160.0,10390.0,10120.0,10270.0,12800.0
2012-02-01,10320.0,10370.0,10230.0,10250.0,9400.0
2012-02-02,10350.0,10500.0,10310.0,10390.0,11200.0
2012-02-03,10420.0,10460.0,10380.0,10390.0,10200.0
2012-02-06,10490.0,10550.0,10350.0,10370.0,9100.0
2012-02-07,10410.0,10670.0,10410.0,10580.0,19200.0
2012-02-08,10640.0,10700.0,10550.0,10700.0,27100.0
2012-02-09,10760.0,10950.0,10760.0,10920.0,15800.0
2012-02-10,10930.0,10930.0,10750.0,10800.0,10600.0
2012-02-13,10850.0,10850.0,10740.0,10760.0,7600.0
2012-02-14,10680.0,10800.0,10630.0,10760.0,8400.0
2012-02-15,10830.0,11300.0,10780.0,11280.0,36800.0
2012-02-16,11430.0,11820.0,11330.0,11430.0,65100.0
2012-02-17,11730.0,11740.0,11530.0,11630.0,18200.0
2012-02-20,11930.0,12050.0,11630.0,11680.0,21600.0
2012-02-21,11660.0,11700.0,11410.0,11490.0,11400.0
2012-02-22,11450.0,11830.0,11430.0,11830.0,29100.0
2012-02-23,11920.0,12320.0,11890.0,12240.0,29900.0
2012-02-24,12320.0,12490.0,12240.0,12490.0,33900.0
2012-02-27,12990.0,13000.0,12630.0,12650.0,38400.0
2012-02-28,12400.0,12500.0,12170.0,12350.0,38100.0
2012-02-29,12410.0,12560.0,12090.0,12090.0,31000.0
2012-03-01,12160.0,12240.0,11940.0,12000.0,28200.0
2012-03-02,12200.0,12200.0,11780.0,11820.0,20500.0
2012-03-05,11700.0,11760.0,11490.0,11490.0,22000.0
2012-03-06,11700.0,11760.0,11490.0,11490.0,0.0
2012-03-07,11100.0,11170.0,11040.0,11160.0,34600.0
2012-03-08,11460.0,11460.0,11300.0,11300.0,26100.0
2012-03-09,11450.0,11790.0,11310.0,11690.0,153300.0
2012-03-12,11830.0,11960.0,11430.0,11540.0,19200.0
2012-03-13,11590.0,11740.0,11470.0,11480.0,14300.0
2012-03-14,11720.0,12060.0,11720.0,12030.0,29900.0
2012-03-15,12220.0,12490.0,12090.0,12370.0,23600.0
2012-03-16,12370.0,12580.0,12230.0,12550.0,29300.0
2012-03-19,12750.0,12750.0,12410.0,12500.0,12100.0
2012-03-21,12670.0,12680.0,12500.0,12600.0,21800.0
2012-03-22,12600.0,13080.0,12600.0,13070.0,29000.0
2012-03-23,12700.0,12760.0,12650.0,12650.0,32500.0
2012-03-26,12690.0,12720.0,12500.0,12570.0,27500.0
2012-03-27,12690.0,12720.0,12500.0,12570.0,0.0
2012-03-28,12650.0,12780.0,12500.0,12780.0,24400.0
2012-03-29,12780.0,12780.0,12630.0,12660.0,18000.0
2012-03-30,12600.0,12730.0,12460.0,12460.0,14400.0
